NO_OF_FRAMES	3915
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:17:45.381	3507.33998200
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
107	1.06000	571.68322	185.78573	287.70682	0.45394	-0.26590	53.88607	0.20959	0.58939	0.80780	0.00914	-0.80784	0.58940	0.00092	-0.00464	-0.00792	0.99996	
108	1.07000	571.63029	185.78704	287.68279	0.45461	-0.26579	54.06125	0.21661	0.58691	0.80960	0.00915	-0.80964	0.58693	0.00090	-0.00464	-0.00793	0.99996	
109	1.08000	571.60782	185.83121	287.67379	0.45173	-0.26833	54.23178	0.22079	0.58450	0.81134	0.00913	-0.81138	0.58452	0.00081	-0.00468	-0.00788	0.99996	
110	1.09000	571.56833	185.86792	287.71028	0.46216	-0.26710	54.40724	0.20891	0.58201	0.81313	0.00927	-0.81317	0.58203	0.00090	-0.00466	-0.00807	0.99996	
111	1.10000	571.58172	185.89753	287.73338	0.46230	-0.27181	54.58004	0.22021	0.57956	0.81488	0.00932	-0.81492	0.57958	0.00081	-0.00474	-0.00807	0.99996	
112	1.11000	571.57604	185.90946	287.73278	0.46193	-0.26629	54.75826	0.22448	0.57702	0.81668	0.00927	-0.81672	0.57704	0.00086	-0.00465	-0.00806	0.99996	
113	1.12000	571.55957	185.94608	287.72620	0.46292	-0.26545	54.94055	0.23297	0.57442	0.81851	0.00927	-0.81855	0.57444	0.00085	-0.00463	-0.00808	0.99996	
114	1.13000	571.54413	185.98414	287.73230	0.45929	-0.26912	55.10623	0.23594	0.57205	0.82017	0.00926	-0.82020	0.57207	0.00073	-0.00470	-0.00802	0.99996	
115	1.14000	571.51217	186.00836	287.73487	0.46258	-0.27286	55.28101	0.22331	0.56955	0.82191	0.00935	-0.82195	0.56957	0.00068	-0.00476	-0.00807	0.99996	
116	1.15000	571.44651	186.05036	287.80860	0.46271	-0.25189	55.45024	0.27894	0.56712	0.82359	0.00914	-0.82363	0.56713	0.00096	-0.00440	-0.00808	0.99996	
